nice: setpriority: Operation not permitted
PASS 48/2400 races, seed 11, wall 20.2s
PASS 96/2400 races, seed 12, wall 40.0s
PASS 144/2400 races, seed 13, wall 60.2s
PASS 192/2400 races, seed 14, wall 80.4s
PASS 240/2400 races, seed 15, wall 101.0s
PASS 288/2400 races, seed 16, wall 122.0s
PASS 336/2400 races, seed 17, wall 141.7s
PASS 384/2400 races, seed 18, wall 161.6s
PASS 432/2400 races, seed 19, wall 181.4s
PASS 480/2400 races, seed 20, wall 200.8s
PASS 528/2400 races, seed 21, wall 220.7s
PASS 576/2400 races, seed 22, wall 240.3s
PASS 624/2400 races, seed 23, wall 260.2s
PASS 672/2400 races, seed 24, wall 279.7s
PASS 720/2400 races, seed 25, wall 300.1s
PASS 768/2400 races, seed 26, wall 321.0s
PASS 816/2400 races, seed 27, wall 341.0s
PASS 864/2400 races, seed 28, wall 360.8s
PASS 912/2400 races, seed 29, wall 380.2s
PASS 960/2400 races, seed 30, wall 399.6s
PASS 1008/2400 races, seed 31, wall 419.6s
PASS 1056/2400 races, seed 32, wall 439.3s
PASS 1104/2400 races, seed 33, wall 460.5s
PASS 1152/2400 races, seed 34, wall 482.5s
PASS 1200/2400 races, seed 35, wall 504.1s
PASS 1248/2400 races, seed 36, wall 524.4s
PASS 1296/2400 races, seed 37, wall 544.4s
PASS 1344/2400 races, seed 38, wall 563.8s
PASS 1392/2400 races, seed 39, wall 583.7s
PASS 1440/2400 races, seed 40, wall 603.3s
PASS 1488/2400 races, seed 41, wall 623.0s
PASS 1536/2400 races, seed 42, wall 642.8s
PASS 1584/2400 races, seed 43, wall 662.7s
PASS 1632/2400 races, seed 44, wall 682.5s
PASS 1680/2400 races, seed 45, wall 702.3s
PASS 1728/2400 races, seed 46, wall 721.9s
PASS 1776/2400 races, seed 47, wall 741.9s
PASS 1824/2400 races, seed 48, wall 761.9s
PASS 1872/2400 races, seed 49, wall 781.9s
PASS 1920/2400 races, seed 50, wall 802.7s
PASS 1968/2400 races, seed 51, wall 822.0s
PASS 2016/2400 races, seed 52, wall 842.6s
PASS 2064/2400 races, seed 53, wall 862.1s
PASS 2112/2400 races, seed 54, wall 881.7s
PASS 2160/2400 races, seed 55, wall 901.4s
PASS 2208/2400 races, seed 56, wall 920.9s
PASS 2256/2400 races, seed 57, wall 940.3s
PASS 2304/2400 races, seed 58, wall 959.9s
PASS 2352/2400 races, seed 59, wall 980.1s
PASS 2400/2400 races, seed 60, wall 1000.5s
PASS extended physics soak 2400 races
