Extracted 10 real road/building ways
changdong-b2: 24 walls, 11 nodes, 12 edges
10000901-0: 16 walls, 6 nodes, 5 edges
20000555-0: 7 walls, 0 nodes, 0 edges
20000555-1: 6 walls, 0 nodes, 0 edges
20000555-2: 6 walls, 0 nodes, 0 edges
10002143-0: 39 walls, 0 nodes, 0 edges
10002143-1: 40 walls, 0 nodes, 0 edges
10002143-2: 28 walls, 0 nodes, 0 edges
parking-159344-0: 66 walls, 0 nodes, 0 edges
multilevel-dogok-0: 85 walls, 0 nodes, 0 edges
multilevel-dogok-1: 63 walls, 0 nodes, 0 edges
multilevel-dogok-2: 54 walls, 0 nodes, 0 edges
multilevel-dogok-3: 43 walls, 0 nodes, 0 edges
integration-lab: 0 walls, 15 nodes, 16 edges
